bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
प्रैर॑यत्,ऐ॒र॒य॒त् प्र,प्रैर॑यत्,प्रैर॑यत् ऐ॒र॒य॒त् प्र प्रैर॑यत् ।,प्रैर॑यदै॒र॒य॒त्प्रप्रैर॑यत्
ऐ॒र॒य॒द॒हिहा,अ॒हि॒ऽहा ऐ॒र॒य॒त्,ऐ॒र॒य॒द॒हिहा,ऐ॒र॒य॒द॒हिहा अ॒हि॒ऽहा ऐ॒र॒य॒त् ऐ॒र॒य॒द॒हिहा ।,ऐ॒र॒य॒द॒हिहा॒हि॒ऽहै॒र॒य॒दै॒र॒य॒द॒हिहा
अ॒हि॒हाच्छ॑,अच्छ॑ अ॒हि॒ऽहा,अ॒हि॒हाच्छ॑,अ॒हि॒हाच्छ॑ अच्छ॑ अ॒हि॒ऽहा अ॒हि॒हाच्छ॑ ।,अ॒हि॒हाच्छ॑अच्छ॑अ॒हि॒ऽहा॒हि॒हाच्छ॑
अ॒हि॒हेत्य॑हि॒bऽहा,,,अ॒हि॒हेत्य॑हि॒ऽहा ।,अ॒हि॒हेत्य॑हि॒ऽहा
अच्छा॑समु॒द्रम्,स॒मु॒द्रम् अच्छ॑,अच्छा॑समु॒द्रम्,अच्छा॑समु॒द्रम् स॒मु॒द्रम् अच्छ॑ अच्छा॑समु॒द्रम् ।,अच्छा॑समु॒द्रं  स॒मु॒द्रमच्छ॑अच्छा॑समु॒द्रम्
स॒मु॒द्रमिति॑स॒मु॒द्रम्b॥,,,स॒मु॒द्रमिति॑स॒मु॒द्रम्॥ ,स॒मु॒द्रमिति॑स॒मु॒द्रम्
अज॑नय॒त्सूर्य॑म्,सूर्य॑म् अज॑नयत्,अज॑नय॒त्सूर्य॑म्,अज॑नय॒त्सूर्य॑म् सूर्य॑म् अज॑नयत् अज॑नय॒त्सूर्य॑म् ।,अज॑नय॒त्सूर्य॑ं  सूर्य॑मज॑नयदज॑नय॒त्सूर्य॑म्
सूर्यं॑वि॒दत्,वि॒दत् सूर्य॑म्,सूर्यं॑वि॒दत्,सूर्यं॑वि॒दत् वि॒दत् सूर्य॑म् सूर्यं॑वि॒दत् ।,सूर्यं॑वि॒दद्वि॒दत्सूर्य॑ं  सूर्यं॑वि॒दत्
वि॒दद्गाः,गाः वि॒दत्,वि॒दद्गाः,वि॒दद्गाः गाः वि॒दत् वि॒दद्गाः ।,वि॒दद्गा गा वि॒दद्वि॒दद्गाः
गाअ॒क्तुना॑,अ॒क्तुना॑ गाः,गाअ॒क्तुना॑,गाअ॒क्तुना॑ अ॒क्तुना॑ गाः गाअ॒क्तुना॑ ।,गाअ॒क्तुना॑अ॒क्तुना॑गा गाअ॒क्तुना॑
अ॒क्तुनाह्ना॑म्,अह्ना॑म् अ॒क्तुना॑,अ॒क्तुनाह्ना॑म्,अ॒क्तुनाह्ना॑म् अह्ना॑म् अ॒क्तुना॑ अ॒क्तुनाह्ना॑म् ।,अ॒क्तुनाह्ना॑मह्ना॑म॒क्तुना॑अ॒क्तुनाह्ना॑म्
अह्नां॑व॒युना॑नि,व॒युना॑नि अह्ना॑म्,अह्नां॑व॒युना॑नि,अह्नां॑व॒युना॑नि व॒युना॑नि अह्ना॑म् अह्नां॑व॒युना॑नि ।,अह्नां॑व॒युना॑निव॒युना॑न्यह्ना॑मह्नां॑व॒युना॑नि
व॒युना॑निसाधत्,सा॒ध॒त् व॒युना॑नि,व॒युना॑निसाधत्,व॒युना॑निसाधत् सा॒ध॒त् व॒युना॑नि व॒युना॑निसाधत् ।,व॒युना॑निसाधत्सा॒ध॒द्व॒युना॑निव॒युना॑निसाधत्
सा॒ध॒दिति॑साधत्b॥३b॥,,,सा॒ध॒दिति॑साधत्॥३॥ ,सा॒ध॒दिति॑साधत्
सोअ॑प्र॒तीनि॑,अ॒प्र॒तीनि॑ सः,सोअ॑प्र॒तीनि॑,सोअ॑प्र॒तीनि॑ अ॒प्र॒तीनि॑ सः सोअ॑प्र॒तीनि॑ ।,"सोअ॑प्र॒तीनि॑अ॒प्र॒तीनि॑सस्सोअ॑प्र॒तीनि॑, सोअ॑प्र॒तीनि॑अ॒प्र॒तीनि॑सः  सोअ॑प्र॒तीनि॑"
अ॒प्र॒तीनि॒मन॑वे,मन॑वे अ॒प्र॒तीनि॑,अ॒प्र॒तीनि॒मन॑वे,अ॒प्र॒तीनि॒मन॑वे मन॑वे अ॒प्र॒तीनि॑ अ॒प्र॒तीनि॒मन॑वे ।,अ॒प्र॒तीनि॒मन॑वेमन॑वेऽ॒प्र॒तीनि॑अ॒प्र॒तीनि॒मन॑वे
मन॑वेपु॒रूणि॑,पु॒रूणि॑ मन॑वे,मन॑वेपु॒रूणि॑,मन॑वेपु॒रूणि॑ पु॒रूणि॑ मन॑वे मन॑वेपु॒रूणि॑ ।,मन॑वेपु॒रूणि॑पु॒रूणि॑मन॑वेमन॑वेपु॒रूणि॑
पु॒रूणीन्द्रः॑,इन्द्रः॑ पु॒रूणि॑,पु॒रूणीन्द्रः॑,पु॒रूणीन्द्रः॑ इन्द्रः॑ पु॒रूणि॑ पु॒रूणीन्द्रः॑ ।,पु॒रूणीन्द्रः॑इन्द्रः॑पु॒रूणि॑पु॒रूणीन्द्रः॑
इन्द्रो॑दाशत्,दा॒श॒त् इन्द्रः॑,इन्द्रो॑दाशत्,इन्द्रो॑दाशत् दा॒श॒त् इन्द्रः॑ इन्द्रो॑दाशत् ।,इन्द्रो॑दाशद्दा॒श॒दिन्द्रः॑इन्द्रो॑दाशत्
दा॒श॒द्दा॒शुषे॑,दा॒शुषे॑ दा॒श॒त्,दा॒श॒द्दा॒शुषे॑,दा॒श॒द्दा॒शुषे॑ दा॒शुषे॑ दा॒श॒त् दा॒श॒द्दा॒शुषे॑ ।,दा॒श॒द्दा॒शुषे॑दा॒शुषे॑दा॒श॒द्दा॒श॒द्दा॒शुषे॑
दा॒शुषे॒हन्ति॑,हन्ति॑ दा॒शुषे॑,दा॒शुषे॒हन्ति॑,दा॒शुषे॒हन्ति॑ हन्ति॑ दा॒शुषे॑ दा॒शुषे॒हन्ति॑ ।,दा॒शुषे॒हन्ति॑हन्ति॑दा॒शुषे॑दा॒शुषे॒हन्ति॑
हन्ति॑वृ॒त्रम्,वृ॒त्रम् हन्ति॑,हन्ति॑वृ॒त्रम्,हन्ति॑वृ॒त्रम् वृ॒त्रम् हन्ति॑ हन्ति॑वृ॒त्रम् ।,"हन्ति॑वृ॒त्रँवृ॒त्रं  हन्ति॑हन्ति॑वृ॒त्रम्, हन्ति॑वृ॒त्रं  वृ॒त्रं  हन्ति॑हन्ति॑वृ॒त्रम्"
वृ॒त्रमिति॑वृ॒त्रम्b॥,,,वृ॒त्रमिति॑वृ॒त्रम्॥ ,वृ॒त्रमिति॑वृ॒त्रम्
स॒द्योयः,यः स॒द्यः,स॒द्योयः,स॒द्योयः यः स॒द्यः स॒द्योयः ।,"स॒द्योयो यस्स॒द्यस्स॒द्योयः, स॒द्योयो यस्स॒द्यः  स॒द्योयः, स॒द्योयो यः  स॒द्यस्स॒द्योयः, स॒द्योयो यः  स॒द्यः  स॒द्योयः"
योनृभ्यः॑,नृऽभ्यः॑ यः,योनृभ्यः॑,योनृभ्यः॑ नृऽभ्यः॑ यः योनृभ्यः॑ ।,योनृभ्यः॑नृऽभ्यः॑यो योनृभ्यः॑
नृभ्यो॑अत॒साय्यः॑,अ॒त॒साय्यः॑ नृऽभ्यः॑,नृभ्यो॑अत॒साय्यः॑,नृभ्यो॑अत॒साय्यः॑ अ॒त॒साय्यः॑ नृऽभ्यः॑ नृभ्यो॑अत॒साय्यः॑ ।,नृभ्यो॑अत॒साय्यः॑अ॒त॒साय्यः॑नृऽभ्यः॑नृभ्यो॑अत॒साय्यः॑
नृभ्य॒इति॒नृbऽभ्यः॑,,,नृभ्य॒इति॒नृऽभ्यः॑ ।,नृभ्य॒इति॒नृऽभ्यः॑
अत॒साय्यो॒भूत्,भूत् अ॒त॒साय्यः॑,अत॒साय्यो॒भूत्,अत॒साय्यो॒भूत् भूत् अ॒त॒साय्यः॑ अत॒साय्यो॒भूत् ।,अत॒साय्यो॒भूद्भूद॒त॒साय्यः॑अत॒साय्यो॒भूत्
भूत्प॑स्पृधा॒नेभ्यः॑,प॒स्पृ॒धा॒नेभ्यः॑ भूत्,भूत्प॑स्पृधा॒नेभ्यः॑,भूत्प॑स्पृधा॒नेभ्यः॑ प॒स्पृ॒धा॒नेभ्यः॑ भूत् भूत्प॑स्पृधा॒नेभ्यः॑ ।,भूत्प॑स्पृधा॒नेभ्यः॑प॒स्पृ॒धा॒नेभ्यः॑भूद्भूत्प॑स्पृधा॒नेभ्यः॑
प॒स्पृ॒धा॒नेभ्य॒स्सूर्य॑स्य,सूर्य॑स्य प॒स्पृ॒धा॒नेभ्यः॑,प॒स्पृ॒धा॒नेभ्य॒स्सूर्य॑स्य,प॒स्पृ॒धा॒नेभ्य॒स्सूर्य॑स्य सूर्य॑स्य प॒स्पृ॒धा॒नेभ्यः॑ प॒स्पृ॒धा॒नेभ्य॒स्सूर्य॑स्य ।,प॒स्पृ॒धा॒नेभ्य॒स्सूर्य॑स्यसूर्य॑स्यप॒स्पृ॒धा॒नेभ्यः॑प॒स्पृ॒धा॒नेभ्य॒स्सूर्य॑स्य
सूर्य॑स्यसा॒तौ,सा॒तौ सूर्य॑स्य,सूर्य॑स्यसा॒तौ,सूर्य॑स्यसा॒तौ सा॒तौ सूर्य॑स्य सूर्य॑स्यसा॒तौ ।,सूर्य॑स्यसा॒तौसा॒तौसूर्य॑स्यसूर्य॑स्यसा॒तौ
